Sarcastic	ویسے اپنے پیر پر کلہاڑی مارنا کوئ ان سے سیکھے 😂
Non-Sarcastic	آپ دلہن کی پھپھو ہیں میری نہیں 😏😏😂🤣🤣🤣
Non-Sarcastic	ہاہاہاہاہاہاہاہاہاہاہاہاہاہاہاہا کمینہ 😂😂😂😂
Sarcastic	میں محمد ندیم ملک بطور ایک عام پاکستانی بلاول زرداری کے ہر دل ❤️ عزیز وزیر اعلیٰ پنجاب جناب عثمان احمد خان بزدار کے خلاف بیان کی پرزور مزمت کرتا ہوں بزدارکی_پرواز_بلاول_بیکار
Sarcastic	قطری نانی ۔۔اور بلو رانی کے ذلیل ہونے کا وقت ہوا چاہتا ہے ۔۔۔۔😂😂😂 قطری نانی کے گیم میں بری طرح پھنس گیا صفدر کو آزاد کر واکے ۔۔۔اب سارا ٹوپی ڈرامہ جب فوج کھولے گی ۔۔تو بلو رانی کہے گا ۔۔عزت مآب ۔۔۔میں نے تو خود درخواست دی تھی آپ کے حضور کہ یہ قطری نانی کے جال سے بچائیں
Non-Sarcastic	اچھا بھائیوں کو زیادہ ویلکم کر سکتی تم لڑکی بہنوں کو تو کرا نہیں😏😏😂بلی دیکھو زرا ہمارے بھائیوں پہ کڑی کی نظر ہے😂😂😂
Non-Sarcastic	موٹی چڑیل ٹویٹ دیکھو کس کی ہے 😂😂😂
Sarcastic	ایتھے تے سب ہی جج نے۔۔۔😂😂😂
Sarcastic	اک محترمہ سارا دن پاک فوج کے خلاف بکواس کر کے رات کو فوجی کے ساتھ سو جاتی ہے کر لو گل۔۔۔😂
Non-Sarcastic	ان کو لگتا ہے کہ انکے دیوتا کی طرح پورا پاکستان `` لکیروں '' کے سہارے سوچتا اور بولتا ہے۔۔۔😂😂😂
Non-Sarcastic	ہاہاہاہاہاہاہاہاہاہاہااہاہاہاہا 😂😂🙏🙏🙏🙏 لگدا اے مینوں ای قربانی دینی پڑنی اے 😂
Sarcastic	ضرورت ہی نہیں اس کو الٹی کھوپڑی کی بات ایک کان سے سنو اور دوسرے سے نکال دو 😋😝😝🤣🤣🤣
Sarcastic	سنا تھا 1 اکیلا ہوتا ہے اور ساتھ 1 ہو تو 11 گیارہ بن جاتا ہے ۔ مگر تاریخ میں پہلی دفعہ 11 کو 1 نے برباد کردیا۔ واہ خان صاحب💖
Non-Sarcastic	وہ اپنی زندگی میں ہوا مصروف اتنا وہ کس کو بھول گیا اسے یہ بھی یاد نہیں😔 اردو_زبان
Non-Sarcastic	ڈرامی😂
Sarcastic	ہور کی ٹرک 🚛 آنا سی 😂 😂 😂
Sarcastic	جو بھی ملوث ہو اُس کو دوبارہ سندھ پولیس کے ہی حوالے کرنا چاہیے😡
Non-Sarcastic	اس وچ کہڑہ جوک جناب😂🏃🏻‍♂️چھڈو رھن دیو تہانوں گیم دا ہی نہیں پتا اج تک
Non-Sarcastic	شکر ہے استعفی لکھنا تو آیا اب اگلے جنم میں مل بھی جائے گا😅
Sarcastic	خبر یہ ہے کہ آرمی چیف نے بلاول کی پریس کانفرنس کے بعد نہیں بلکہ آج صبح ہی کراچی واقعات کی بابت نوٹس لے کر کور کمانڈر کراچی کو تحقیقات کر کے رپورٹ پیش کرنے کا حکم دے دیا تھا جس کے بعد سندھ حکومت نے IG سندھ کو زبردستی چھٹیوں پر بھیجا ہے کھیل مزید دلچسپ ہو گیا 😂
Sarcastic	`` کراچی جلسے میں لوگوں کو یہ کہ کر بلالیا گیا تھا کہ بلاول مرگیا ھے اور اسکی برسی ھے '' 😂 ISPR
Non-Sarcastic	محبت وراثت میں نہیں ملتی، تلاش کرنا پڑتی ہے_❤💖 ادب_کا_سفر
Non-Sarcastic	شکریہ آپ کا نوازش بہت 💯🙏
Sarcastic	دوسروں کی بیویاں دیکھ کر جلنے سے بہتر یے اپنی بیویوں پر خرچہ کریں انہیں پارلر لے کر جائیں🙊🙊🤣 مارخورز
Sarcastic	سعید غنی یہ عمران خان کی سازش ہے۔ مراد علی شاہ پولیس نے سب ٹھیک کیا۔ الحمدللہ خود ہی بےنقاب ہو گئے♥️
Non-Sarcastic	صافی اک بات پوچھوں ؟؟؟ بلاک تو نہیں کرو گے؟ سچ بتائو تبدیلی نظر آرہی ہے نا؟ لفافی صافی اور صحافی 😅😅😄😃😃🤣🤣🤣🤦‍♂️
Non-Sarcastic	ہاہاہاہاہاہا چالیس سالہ صحافت کا بلتکار کردیا حامد میر۔ مولا خوش رکھے 😂
Sarcastic	دراصل یہ ٹکلا انکل نانی کو چمہ دینا چاہتا تھا مگر بیچ میں نانا آگئے۔۔ 😅😆😂
Sarcastic	اوئے ہوئے بڑے غائب غائب لوگ آئے ویلکم ویلکم😻🌹👊💕
Non-Sarcastic	ہا ہا ہا 😂😂😂😂 آہو یہ تو ہیں 💞💞💞
Non-Sarcastic	پشاور ہاٸیکورٹ نے لیگی رہنما امیر مقام کے خلاف FIA کے تمام کیسز کی سفارشات رد کر کے امیر مقام کو باعزت بری کر دیا.✌🏻
Sarcastic	لیکن اِس چیف کا نوٹس لینا تو ایسے ھی ھوا جیسے دودھ کا راکھا بلا😥 یا پھر چراغ تلے اندھیرا🤐
Sarcastic	😂😂😂😂😂 6 بسکٹ آئے تھے گن کر اس میں
Non-Sarcastic	معافی نہیں دیندے قوم نوں 🙏
Non-Sarcastic	غلامی رسولٌ میں موت بھی قبول ہے۔۔ جو ہو نا عشق مصطفی تو زندگی فضول ہے۔۔♥️ حضورصلى الله عليه وسلم خاتم النبيين ہیں آپ صلى الله عليه وسلم کے بعد کوئی نبی نہیں ہو گا ♥️♥️ بے_شک
Sarcastic	شاید کامران خان کے کچھ بیرونی دوست مدد کے لٸے تیار بیٹھے ہوں اور ہمیں پتہ نہ ہو۔ 😂
Sarcastic	وہ میں نے پوچھنا تھا میں بھی چھٹی کی درخواست لکھ دوں کیا😃
Non-Sarcastic	😂😂😂😂😂😂😂😂 شغل میلہ لان دؤ توانوں کی پین جی 😃😅😆😆😆
Non-Sarcastic	جس نے فالورز `` بڑھانے '' ہوں ہمارے پاس تشریف لائے یہ ایسے محسوس ہوتا ہے جیسے دیوار پہ حکیم صاحب کا اشتہار لگا ہو 😊🙏 ٹوئیٹر_دواخانہ
Sarcastic	بے غیرتوں اور جاہلوں کے سوا عمران نیازی کا ساتھ اب کوئی نہیں دے گا ہارون رشید😜 StandWithSindhPolice
Sarcastic	میری فلاسفی کو کھلے عام ڈرامہ بولا جا رہا ہے،، اس کا بھی نوٹس لیا جائے مائی لارڈ😣😣
Non-Sarcastic	ڈیر خکولے ماشاءالله 🌺🍃
Non-Sarcastic	دیکھتے ہیں ہم نے کافی مقدار میں پاپ کارن منگوا لیے ہیں.. 😂
Sarcastic	آواز تو قائدِ اعظم نے بھی سُن لی تم لوگو کی .. فون آیا تھا میرے پاس پوچھ رہے تھے میرے مزار میں گدھے کیسے داخل ہوئے 😕 😂😂😂
Sarcastic	تعجب نہیں لیکن کیا نہیں جانتا کس نے کس کے کہنے پر کاروائی ڈالی ھے😉 چلو کچھ تو ریلیف ملے گا 😉 بلاول سیاستدانوں کی صف میں شامل ھوگیا لیکن ھمارا نعرہ وہی ھے ووٹ_کو_عزت_دو
Non-Sarcastic	کیا حسن اتفاق ہے ان کی گلی میں ہم اک کام سے گئے تھے، ہر کام سے گئے۔۔🔥❤
Non-Sarcastic	یہ کیا 😂😂😂😂😂
Sarcastic	اتنا بڑا معاملہ ہو گیا یار کوئی وزیراعظم کو بھی نوٹس لینے کا بولے ڈمی ہے مگر ہے تو PM 😂😂
Sarcastic	یہ وہی لطیفے والا کپتان ھے اک میراثی نے اپنے مرغے کا نام کپتان رکھا ہوا تھا جو اپنی وردی اتار کر کہیں چلا گیا تھا😂😂
Non-Sarcastic	مرد اپنی جوانی میں اپنے اعمال سے اپنی بیٹی کی قسمت جوانی لکھ رہا ہوتا ہے 🌷
Non-Sarcastic	دیکھ ساقی کیسے بستا ھے عشق وجود میں۔۔۔ 💕 سلطنت میری ھے رگ رگ پہ حکومت یار کی۔۔۔ 💕
Sarcastic	لفظ دوست تشریح عزت نہ کرنے والی عجیب و غریب بے ڈھنگی لا پرواہ مخلوق۔۔۔۔۔۔ 😂😂😂😂😂✌😂😂😂
Sarcastic	وہی تو عرض کرنے کی کوشش کر رہا ہوں کہ دونوں کیلئے ڈھنگ کے کھسم مر گئے تھے کیا 😁؟
Non-Sarcastic	اللہ پاک نئ زندگی میں سکون عطا فرماۓ آمین ثم آمین۔❤
Non-Sarcastic	ایناں مینوں نی ہویا جیناں توانوں اویا اے 🙋‍♂️
Sarcastic	ملازم کی تنخواہ 1 تولہ سونے کے برابر ہو گی یہ کِس بیغیرت نے ڈی چوک پر کہا تھا ؟😂😂 در_در_نیازی🐉
Sarcastic	اپوزیشن والے کبھی کہتے ہیں عمران خان کٹھ پُتلی ہے فیصلے کوئی اور کرتا ھے کبھی کہتے ہیں عمران خان ہم سے انتقام لے رہا ھے😂😃😂
Non-Sarcastic	جلدی کہا تب سے سوچ رہی تھی😂
Non-Sarcastic	مینا ڈیڈی😋
Sarcastic	بدزبان بد کلام چوہان چوہان نیازی اپنے ٹائیگر نامی کتے 🐶 کو لگام دو BachaKhanOurHero
Sarcastic	اچھا دماغ والے بغیر دماغ والوں کے گرد گھومتے کیوں ہے، دماغ کی صرف موجودگی ضروری نہیں استعمال بھی ہونا چاہیے😏😏
Non-Sarcastic	'' عورت کی اتنی وفا کافی نہیں؟ کہ وہ تمہارے ساتھ جنت تک کے خواب دیکھتی ہے جبکہ تم اسے پہلو میں بیٹھا کر بھی تین بیویوں کے خواب دیکھ رہے ہوتے ہو_ '' 🙂❤
Non-Sarcastic	لے تسی کسطرح سانوں بھل سکدے🙈😂
Sarcastic	😂😂🤣🤣 فسادن ملی تے کوجی ہنھ😏😏😏
Sarcastic	زرداری پتہ نہی کون سے بدلے چکا رہے ہیں ن لیک سے پہلے گنجے سے فوج مخالف تقریر کروائ پھر کراچی میں گنجی کی تقریر کی اجازت نہی دی ن لیک کے پوسٹر کے نیچے پیپلزپارٹی لکھوا کر بینرز وائرل کیے اب اس کا جوائ گرفتار کروا دیا۔ یہ اتحاد ہے یا پھر ن لیک کی بینڈ بجائ جارہی ہے😂 ISPR
Sarcastic	یہ گشتی پاگل ہوگی ہے اس کو سیریس نا لو بھائیوں 😂😂🤣
Non-Sarcastic	استغفراللہ 🙆‍♀️🙏🙄
Non-Sarcastic	شام تک جتنے لوگ ریٹویٹ ♻️ کریں گے ان کو سپیشل پروموشن لسٹ میں شامل کیا جائے گا👈جلدی سے ریٹویٹ ♻️ کریں اور اپنا ہی گارنٹی ہے ف…
Non-Sarcastic	یہ سرعام جو حق گوئ کا ہنر پایا علی ع سے عشق کیا تو یہ جگر پایا ❤
Sarcastic	وچلے ذرائع کے مطابق کپٹن صفدر کو گرفتار کر کے فوج سے 1992 کا بدلہ لیا گیا ہے😜😜😜 CompromiseGames
Sarcastic	پٹواریوں_کی_مادرملت جیسے بنا سوار کے سواری 😜
Sarcastic	نکما کیپٹن صفدو۔۔۔۔۔🧔 🤣😅🤣
Non-Sarcastic	پہلے گجر طیارہ وڑائچ طیارہ چیمہ طیارہ مگر اب پیش خدمت ہے نیو خان طیارہ😂😂 بزدارکی_پرواز_پنجاب_بیکار
Non-Sarcastic	گل خان کے لیول کی😂
Non-Sarcastic	پٹواریوں کی بھی کیا زندگی ہے جنم انسانوں والا ملا حساب کتوں والا دینا ہوگا 😁😁😁
Sarcastic	تو کیا ہوا باجوا کی چھاتی پر ایک سو کے قریب میڈل نہیں دیکھے ہیں کیا؟؟🙄 پچھلے چار سالوں سےاتنا بڑا پاکستان فتح کر رہا ہے ، کشمیر فتح کرنا اسکے بائیں ہاتھ کا کھیل ہے😋 سے ہی پوچھ لیں😌
Sarcastic	یہ کوئی راکٹ سائنس تو ہے نہیں جیو شیرنی ❤️
Sarcastic	آج عمران خان اور ان کے مشیروں اور وزیروں کو نیند نہی اے گی کیوں کے پنڈی بواے کی کال گئ 😍🤣😂
Non-Sarcastic	zabardast 👌 ہے میری زندگی کے رابطے میں شفاء جیسا وہ میری روح میں شامل محبت کی انتہا جیسا ...
Non-Sarcastic	سنا ہے آرمی چیف صاحب نے ووٹ چوری کا نوٹس لے بہت خوب 🌷🌷
Non-Sarcastic	ذرا_ذرا سا تھا پر تھا کمال کا ... ... ... 😍 وہ تمہارا مسکرانا جو ھمیں لے ڈوبا ... 🤕
Sarcastic	لگتا ہے کہ نانی ۴٢٠ کی زنبیل میں بہت کچھ دفن ہے 😉
Sarcastic	ویسے یہ اچھی آڑ ہے کہ پہلے سب کچھ خود کرو اور بعد میں اُنہی کو تحقیقات کا حُکم دے دو جو آپ کے ماتحت ہوں۔ قوم کو پاگل بنانا کتنا آسان ہے؟ 👏
Sarcastic	اب ٹرکوں کے پیچھے لکھا آئے گا۔۔۔ سندھ پولیس کو سلام۔۔۔👨🏻‍✈️
Non-Sarcastic	مادر ملت نہیں مادر زلت ہے یہ 😂
Non-Sarcastic	نئیں ۔۔۔۔۔۔ 😁😁😁😁 افتخار ٹھاکر سٹائل
Non-Sarcastic	بلاول بھٹو زرداری 😹
Sarcastic	ارے پوچھنے بتانے کی کیا ضروت ھے سب کو پتا ھے کہ کل رات تم نے کہاں اور کس کے ساتھ گزاری ھے 😂😂😂😂
Sarcastic	پورے پاکستان میں ایک چنگچی ڈھونڈ کے اب محترمہ نانی جی اپنا بیانیہ گھر گھر پہنچائیں گی۔۔۔ انقلاب۔۔۔ 😆
Sarcastic	بریکنگ نیوز۔۔ صرف دو کامیاب جلسوں کے بعد ہی نکے کے ابا جی کے استعفے کی صدائیں آنا شروع ہو گئی ہیں۔ مبارک ہو۔۔۔ 😏👈💪 ریاست_سے_…
Non-Sarcastic	ڈوبے تو اصّل میں لفافے اور خونی لبرل ہیں ۔ جو روز جھوٹ بولتے ہیں اور روز ذلیل ہو کر سوتے ہیں ۔ لگتا ہے ان کو ذلیل ہونے کی عادت سی ہو گئی ہے 😂
Non-Sarcastic	غمِ زندگی تیری راہ میں، شبِ آرزو تیری چاہ میں جو اجڑ گیا وہ بسا نہیں، جو بچھڑ گیا وہ ملا نہیں 🤐💔
Non-Sarcastic	🤣😂😂🤣🤣 آپ کے علاؤہ کوئی دنیا میں فسادن نہیں ہے سچی میں مطلب کنوارا مروں گا🙊🙊🙊😂🤣🤣🤣
Sarcastic	سمجھ نہیں آرہا کہ آج 9 بجے کی خبریں دیکھ رہے یا فلم سنگم 🙈
Sarcastic	بلو رانی کی طبعیت خراب ہوگئی ہوگی۔۔😅😅😅
Sarcastic	زیادہ بھونکنے کی ضرورت نہیں پہلے آئ جی سے پوچھ لو کس نے دباو ڈالا ھے سندھ گورنمنٹ نے یا وفاق نے پہر جی بھر کے بھونک لینا 🐕🖐
Non-Sarcastic	میں آپ کی بات پہ ضرور غور کروں گی، آپ کا بہت شکریہ 🤭😁😜
Non-Sarcastic	اکاؤنٹ 😂😂
Non-Sarcastic	پانی ختم کرنے میں پرائمری سکول کے بچوں کا بھی بڑا ہاتھ ہے ہر دو منٹ بعد۔۔ اشتاد جی پانی پی آواں 🤓😂😜😎😂
Sarcastic	حامد میر صاحب اب ان بیچارے کامران خان کو اغواکاروں کی چنگل سے ازاد کرانا آپ کا کام ہیں.😂
Sarcastic	کاکا جب تم نے عدت پوری نہیں ہونے دی تو عوام کیسے مدت پوری ہونے دے گی😂🤣😅
Sarcastic	حکومت کا یہ ترجمان بھی گھٹیا باتیں ہی کرتا ہے 😜💯✔👍
Non-Sarcastic	یہ نہ صرف حکومت ہے، حکومت کے اندر بھی حکومت ہوتا ہے، حکومت کے اوپر بھی حکومت ہوتا ہے،حکومت کے نیچے بھی حکومت ہوتا ہے، بلاول بھٹو زرداری 😂😁
Non-Sarcastic	بہت اچھے ۔ یہی درست رویہ ہے۔ 👍🏼👏🏼
Non-Sarcastic	قسمیں انج ای گل اے 😐
Sarcastic	کیپٹن صفدر کا جلدی چھوٹنے پر وزیر موسمیات زرتاج گل کا اظہارِ اطمینان 😜😜
Sarcastic	ھاھاھاھاھااو تیری خیر او پاٸیا تسی فیاض نال گل پٸے کردے او جونی سن نال نٸیں 😂😂😂😂😂
Sarcastic	جماعت اسلامی یہ جلسے جلوس حکومت مخالف تحریک کے طور پر نہیں نوکر شاہی کی دلالی میں پی ڈی ایم کی مخالفت میں کر رہی ہے۔😇😇😇
Non-Sarcastic	ھاھاھاھا توں تیار رہ بس 😍😍
Non-Sarcastic	مزے تے ماہیا ہُن آن گے انیل کپورے اور بلو رانی کو کچھ سمجھ نہیں آ رہا تھا کیا کہنا ہے ۔نامراد نے ایک بات کہی تو بلو رانی دوسری طرف کھڑی تھی 😆 😆😆 😅
Non-Sarcastic	اس کو کہتے ہیں۔ فراغت 😀
Sarcastic	میاں ساب خود کو شیر ثابت کرنے کو پونچھ لگوانے کے لیے سرجری کے لیے روانہ ذرایع حامڈ میڑ 😂😂😂
Sarcastic	مجھے لگ رہا ہے بہت جلد کامران خان کا سوفٹ ویئر بھی اپ ڈیٹ ہونے والا ہے یہ بھی شیخ رشید کی طرح خودکش بن چکا ہے ہر گھنٹے اپنوں کو ہی نقصان پہنچانے پہ لگا ہے😅
Sarcastic	نظرتوصرف ہم لڑکیوں کولگتی ہے لڑکوں کے پیچھےتوجب بھی لگتے '' کتے '' ہی لگتے۔۔۔۔۔ 💪🙊😝🤪😂💃 زادی
Non-Sarcastic	بستی خراب ہو گئی کامران خان دی۔ 😂😂😂😂😂
Non-Sarcastic	ملنا تھا ایک بار اُسے پھر کہیں منیر ایسا مِیں چاہتا تھا پر ایسا نہیں ھوا 😒😒
Non-Sarcastic	اس طرح دے الیکشن توں بعد کوئی نہ کوئی امیدوار چیف الیکشن کمشنر نو گولی مار دیندا 😂😂😂✌
Sarcastic	پوچھنا یہ ہے کہ لگھڑ بھگڑ مطلب کپٹن صفدر کو کس نے گرفتار کروایا 😀😀😀 یہ پی پی والے آپ کے ساتھ بہت بڑی گیم کر گے 😀😀
Sarcastic	بزدارکی_پرواز_بلاول_بیکار خان صاحب نے کہا۔۔۔۔ '' حرام پر پلے دو بچے ھیں جن میں سے ایک نانی ھے '' اور حیرت اس بات پر ھے کہ انکو `` حرام کے پلے کہنے پر اعتراض نہیں۔۔۔ بلکہ نانی کہنے پر اعتراض ھوا ھے😂
Sarcastic	عمران خان کو یہ کریڈٹ تو دینا پڑے گا کہ اپنے ساتھ ساتھ اپنے لانے والوں کو بهی ذلیل کروا رہا ہے ... اور یوتھیے بےچارے فی سبیل اللہ ذلیل ہو رہے ہيں مان گئے مرشد ایک تیر ميں تین تین شکار۔ 😝 StateAboveStateRejected IGSindh
Non-Sarcastic	کیپٹن صفدر کا نیا گانا ریلیز اک کتی جئ زنانی پیچھے رول دی جوانی 🤭😆😆
Non-Sarcastic	😂😂 اور ایسا جھاد مجاد ہی کرتے ہیں
Non-Sarcastic	🇵🇰تمہیں بھی قائد اعظم محمد علی جناح رح کی عزت کا کوئی پاس نہیں🇵🇰تم ہمیں چھٹیاں بتا رہے📃 تمہیں شرم آنی چاہیے🔔قانون پر کیوں عمل نہیں کیا گیا⚖یہ ملک کسی کے باپ نہیں ہے🇵🇰یہ تمام پاکستانیوں کا ملک اور مادر وطن ہے🇵🇰اب تک اس گھر داماد کو مچھ جیل میں ہونا چاہیے تھا⛓🔒قانون پڑھو📚
Sarcastic	حامد میر صاحب آخر آپ نے حکومت کے ماموں کے بیٹے کامران کی لے ہی لی 😁 کلاس باخدا یقین ہی نہیں آتا کہ یہ لڑکا کامران وہی ہے جو Geo News پر پروگرام کیا کرتا تھا اب تو قوم کو بھی پکا یقین ہو گیا یہ ہی اصلی والا حکومت کے ماموں کا بیٹا کامران ہے
Sarcastic	قاتل کی بندوق سے ذیادہ طاقت صحافی کے قلم اور کیمرے میں ہے لیکن شرط یہ ہے کہ کیمرا کسی بکے ہوئے دلال حامد میر صحافی کے ہاتھ میں نہ ہو 🖐️🌚
Sarcastic	کپتان صفدر اعوان نہ جذباتی ہوندا تے نہ ایہہ سارا کم پیندا 😃 سارے اعوان، بابر اعوان تے فردوس عاشق اعوان نئیں ہوندے
Non-Sarcastic	پچیس نہیں پیچش سال 😂
Non-Sarcastic	اذان غور سے سننےسے کافی ذہنی بیماریوں سے نجات مل جاتی ہے..❤
Non-Sarcastic	*کسی کی بدتمیزی سے مت گھبرائیں وہ بس اپنا تعارف کرواتے ہیں۔سمجھداری اِسی میں ہے کہ آپ اُنہیں پہچان کر آگے چل دیں۔۔۔۔۔۔ 🌵🍄🌵🍄🌵
Sarcastic	سندھ حکومت بد نام ہوئی مریم نانی تیرے لیے 😜😜😜😜😜😜😜 کوئی_مرادعلی_شاہ_سےپوچھے
Sarcastic	آریحائی فوج نے ملازمت چھوڑ کر کھیتی باڑی کرنے لگے۔ آرائیوں کا پیشہ ذراعت اور باغ بانی ہے۔ پیاز اگانے،کھانے اور سالن کوپیاز کا تڑکا لگانے کا طریقہ بھی تمام اقوام نے انہیں سے سیکھا۔ آرائیں عربی نسل سے ہے مگر عرب سے عجم تک کے سفر میں انکی زبان اور تہذیب میں نمائیاں فرق آیا ہے۔ 👇😅
Sarcastic	کامران صاحب کا نشہ اور ہے شاہین کا نشہ اور ہے یہ واقعی ماموں کا بیٹا کامران ہے 😂
Non-Sarcastic	سچی مزہ آیا ۔۔۔ویسے حیدر بھائی بہت پیارے انسان ہیں ❤
Non-Sarcastic	زندگی بےوفا ہے یہ مانا مگر 💔🔥
Non-Sarcastic	تیرا تو یہی کہنا بنتا ہے 👊😝🤣🤣
Sarcastic	فیصل واوڈا ایک گھٹیا ترین وزیر ہے۔۔۔ اعلان ختم🔉🔊
Sarcastic	اب تو پورا انڈیا `` سوگ '' میں ڈوبا ہوگا کہ یہ کیا انرت ہوگیا پاکستان میں؟؟😢 کیونکہ انڈیا ہمیشہ ووٹ_کو_عزت_دو کی بات پہ دیوالی مانتا ہے۔انڈین `` دوستوں '' کو جان کر جیو۔۔۔🙄
Sarcastic	ڈھائی ہزار کرسیوں پر پانچ لاکھ افراد کو بٹھانے کی ذمہ داری حامد میر ،عاصمہ شیرازی اور سلیم لفافی کی ہے 😜😝😜😝
Non-Sarcastic	میں روز صبح جلدی اٹھتی ہوں کہ کالج جانے سے پہلے 5 منت کے لیے ٹویٹر پر آ کے صبح بخیر کی ٹویٹ کر سکوں پر 😔پھر بھی لیٹ ہو جاتی ہوں اور ٹویٹ نہیں کر پاتی اور کالج وین آگے آگے ہوتی اورمیں پیچھے بھاگ رہی ہوتی😣😖😬
